u,v,moda,periode,w
Banjarmasin,Tarakan,TRUK,2,15
Banjarmasin,Jakarta,KBRG,2,4
Batam,Jakarta,KBRG,2,4
Batam,Jakarta,KPNG,2,6
Batam,Medan,KPNG,2,6
Bengkulu,Banda Aceh,TRUK,2,15
Bengkulu,Lhokseumawe,TRUK,2,15
Bengkulu,Medan,TRUK,2,15
Bengkulu,Sibolga,TRUK,2,15
Bengkulu,Pematang Siantar,TRUK,2,15
Bengkulu,Padang,TRUK,2,15
Bengkulu,Pekanbaru,TRUK,2,15
Bengkulu,Jambi,TRUK,2,15
Bengkulu,Palembang,TRUK,2,15
